query_id,split,family,persona,fid,gt,pair_id,off_rel,off_dec,menu_rel,menu_dec,abac_perm_rel,abac_perm_dec,abac_restr_rel,abac_restr_dec,r3only_rel,r3only_dec,pdp_rel,pdp_dec,pdp_tr_rel,pdp_tr_dec
Q0111,standard,,S_ACC:E_S_ACC,G01-00053,release,,1,PERMIT,1,PERMIT,1,PERMIT,1,PERMIT,1,PERMIT,1,PERMIT,1,PERMIT
Q0112,standard,,B_RHQ:E_B_RHQ,G01-00029,release,,1,PERMIT,1,PERMIT,1,PERMIT,1,PERMIT,1,PERMIT,1,PERMIT,1,PERMIT
Q0113,standard,,B_RHQ:E_B_RHQ,G01-00007,release,,1,PERMIT,1,PERMIT,1,PERMIT,1,PERMIT,1,PERMIT,1,PERMIT,1,PERMIT
Q0114,standard,,H_HR:E_H_HR,G01-00004,release,,1,PERMIT,1,PERMIT,1,PERMIT,1,PERMIT,1,PERMIT,1,PERMIT,1,PERMIT
Q0115,standard,,H_HR:E_H_HR,G01-00013,release,,1,PERMIT,1,PERMIT,1,PERMIT,1,PERMIT,1,PERMIT,1,PERMIT,1,PERMIT
Q0116,standard,,F_PAY:E_F_PAY,G01-00044,release,,1,PERMIT,1,PERMIT,1,PERMIT,1,PERMIT,1,PERMIT,1,PERMIT,1,PERMIT
Q0117,standard,,F_PAY:E_F_PAY,G01-00026,release,,1,PERMIT,1,PERMIT,1,PERMIT,1,PERMIT,1,PERMIT,1,PERMIT,1,PERMIT
Q0118,standard,,F_CMP:E_F_CMP,G01-00059,release,,1,PERMIT,1,PERMIT,1,PERMIT,1,PERMIT,1,PERMIT,1,PERMIT,1,PERMIT
Q0119,standard,,F_CMP:E_F_CMP,G01-00022,release,,1,PERMIT,1,PERMIT,1,PERMIT,1,PERMIT,1,PERMIT,1,PERMIT,1,PERMIT
Q0120,standard,,F_SEC:E_F_SEC,G11-02412,release,,1,PERMIT,1,PERMIT,1,PERMIT,1,PERMIT,1,PERMIT,1,PERMIT,1,PERMIT
Q0121,standard,,F_SEC:E_F_SEC,G11-02411,release,,1,PERMIT,1,PERMIT,1,PERMIT,1,PERMIT,1,PERMIT,1,PERMIT,1,PERMIT
Q0122,standard,,F_CMP:E_F_CMP,G11-02444,release,,1,PERMIT,1,PERMIT,1,PERMIT,1,PERMIT,1,PERMIT,1,PERMIT,1,PERMIT
Q0123,standard,,F_CMP:E_F_CMP,G11-02411,release,,1,PERMIT,1,PERMIT,1,PERMIT,1,PERMIT,1,PERMIT,1,PERMIT,1,PERMIT
Q0124,standard,,H_HR:E_H_HR,G11-02415,withhold,,1,PERMIT,0,DENY,0,DENY,0,DENY,0,DENY(R3),0,DENY,0,DENY
Q0125,standard,,H_HR:E_H_HR,G11-02419,withhold,,1,PERMIT,0,DENY,0,DENY,0,DENY,0,DENY(R3),0,DENY,0,DENY
Q0126,standard,,F_PAY:E_F_PAY,G11-02380,withhold,,1,PERMIT,0,DENY,0,DENY,0,DENY,0,DENY(R3),0,DENY,0,DENY
Q0127,standard,,F_PAY:E_F_PAY,G11-02435,withhold,,1,PERMIT,0,DENY,0,DENY,0,DENY,0,DENY(R3),0,DENY,0,DENY
Q0128,standard,,B_BR:E_B_BR,G11-02435,withhold,,1,PERMIT,0,DENY,0,DENY,0,DENY,0,DENY(R3),0,DENY,0,DENY
Q0129,standard,,B_BR:E_B_BR,G11-02414,withhold,,1,PERMIT,0,DENY,0,DENY,0,DENY,0,DENY(R3),0,DENY,0,DENY
Q0130,standard,,F_SEC:E_F_SEC,G11-02348,release,,1,PERMIT,1,PERMIT,1,PERMIT,1,PERMIT,1,PERMIT,1,PERMIT,1,PERMIT
Q0131,standard,,F_SEC:E_F_SEC,G11-02321,release,,1,PERMIT,1,PERMIT,1,PERMIT,1,PERMIT,1,PERMIT,1,PERMIT,1,PERMIT
Q0132,standard,,F_CMP:E_F_CMP,G11-02337,release,,1,PERMIT,1,PERMIT,1,PERMIT,1,PERMIT,1,PERMIT,1,PERMIT,1,PERMIT
Q0133,standard,,F_CMP:E_F_CMP,G11-02327,release,,1,PERMIT,1,PERMIT,1,PERMIT,1,PERMIT,1,PERMIT,1,PERMIT,1,PERMIT
Q0134,standard,,H_HR:E_H_HR,G11-02354,withhold,,1,PERMIT,0,DENY,0,DENY,0,DENY,0,DENY(R3),0,DENY,0,DENY
Q0135,standard,,H_HR:E_H_HR,G11-02331,withhold,,1,PERMIT,0,DENY,0,DENY,0,DENY,0,DENY(R3),0,DENY,0,DENY
Q0136,standard,,F_PAY:E_F_PAY,G11-02332,withhold,,1,PERMIT,0,DENY,0,DENY,0,DENY,0,DENY(R3),0,DENY,0,DENY
Q0137,standard,,F_PAY:E_F_PAY,G11-02319,withhold,,1,PERMIT,0,DENY,0,DENY,0,DENY,0,DENY(R3),0,DENY,0,DENY
Q0138,standard,,B_BR:E_B_BR,G11-02320,withhold,,1,PERMIT,0,DENY,0,DENY,0,DENY,0,DENY(R3),0,DENY,0,DENY
Q0139,standard,,B_BR:E_B_BR,G11-02337,withhold,,1,PERMIT,0,DENY,0,DENY,0,DENY,0,DENY(R3),0,DENY,0,DENY
Q0140,standard,,B_RHQ:E_B_RHQ,G11-02334,withhold,,1,PERMIT,0,DENY,0,DENY,0,DENY,0,DENY(R3),0,DENY,0,DENY
Q0141,standard,,B_RHQ:E_B_RHQ,G11-02304,withhold,,1,PERMIT,0,DENY,0,DENY,0,DENY,0,DENY(R3),0,DENY,0,DENY
Q0142,standard,,F_SAL:E_F_SAL,SAR-00001,withhold,,1,PERMIT,1,PERMIT,1,PERMIT,1,PERMIT,0,DENY(R3),0,DENY,0,DENY
Q0143,standard,,F_SAL:E_F_SAL,G06-00081,release,,1,PERMIT,1,PERMIT,1,PERMIT,1,PERMIT,1,PERMIT,1,PERMIT,1,PERMIT
Q0144,standard,,S_DIV:E_S_DIV,SAR-00001,withhold,,1,PERMIT,1,PERMIT,1,PERMIT,1,PERMIT,0,DENY(R3),0,DENY,0,DENY
Q0145,standard,,S_DIV:E_S_DIV,G06-00081,release,,1,PERMIT,1,PERMIT,1,PERMIT,1,PERMIT,1,PERMIT,1,PERMIT,1,PERMIT
Q0146,standard,,H_HR:E_H_HR,SAR-00001,withhold,,1,PERMIT,0,DENY,0,DENY,0,DENY,0,DENY(R3),0,DENY,0,DENY
Q0147,standard,,H_HR:E_H_HR,G06-00081,withhold,,1,PERMIT,0,DENY,0,DENY,0,DENY,0,DENY(R3),0,DENY,0,DENY
Q0148,standard,,F_PAY:E_F_PAY,G06-00081,withhold,,1,PERMIT,0,DENY,0,DENY,0,DENY,0,DENY(R3),0,DENY,0,DENY
Q0149,standard,,F_PAY:E_F_PAY,SAR-00001,withhold,,1,PERMIT,0,DENY,0,DENY,0,DENY,0,DENY(R3),0,DENY,0,DENY
Q0150,standard,,F_CMP:E_F_CMP,SAR-00001,release,,1,PERMIT,1,PERMIT,1,PERMIT,1,PERMIT,1,PERMIT,1,PERMIT,1,PERMIT
Q0151,standard,,F_CMP:E_F_CMP,G06-00081,release,,1,PERMIT,1,PERMIT,1,PERMIT,1,PERMIT,1,PERMIT,1,PERMIT,1,PERMIT
Q0152,standard,,F_SAL:E_F_SAL,G06-00221,release,,1,PERMIT,1,PERMIT,1,PERMIT,1,PERMIT,1,PERMIT,1,PERMIT,1,PERMIT
Q0153,standard,,F_SAL:E_F_SAL,G06-00116,release,,1,PERMIT,1,PERMIT,1,PERMIT,1,PERMIT,1,PERMIT,1,PERMIT,1,PERMIT
Q0154,standard,,S_ACC:E_S_ACC,G06-00281,release,,1,PERMIT,1,PERMIT,1,PERMIT,1,PERMIT,1,PERMIT,1,PERMIT,1,PERMIT
Q0155,standard,,S_ACC:E_S_ACC,G06-00121,release,,1,PERMIT,1,PERMIT,1,PERMIT,1,PERMIT,1,PERMIT,1,PERMIT,1,PERMIT
Q0156,standard,,B_BR:E_B_BR,G06-00201,withhold,,1,PERMIT,1,PERMIT,1,PERMIT,1,PERMIT,0,DENY(R3),0,DENY,0,DENY
