query_id,split,family,persona,coords,arm,attr_used,treq_used,k,ledger,fid,released,gt_action,leak,over,rule,reason,canary_ref,gt_peritem_tier
Q0019,standard,,F_PAY:E_F_PAY,gt,ungoverned,PB,3,5,,G09-00965,1,release,0,0,-,no-governance,,3
Q0019,standard,,F_PAY:E_F_PAY,gt,menu,PB,3,5,,G09-00965,1,release,0,0,menu,template-level,,3
Q0019,standard,,F_PAY:E_F_PAY,gt,abac_perm,PB,3,5,,G09-00965,1,release,0,0,abac_perm,cell-open(≤3) tier-blind,,3
Q0019,standard,,F_PAY:E_F_PAY,gt,abac_restr,PB,3,5,,G09-00965,1,release,0,0,abac_restr,tier 3<=max 3,,3
Q0019,standard,,F_PAY:E_F_PAY,gt,idpdm,PB,3,5,,G09-00965,1,release,0,0,R3,R3:ok,,3
Q0020,standard,,F_PAY:E_F_PAY,gt,ungoverned,PB,3,5,,G09-01005,1,release,0,0,-,no-governance,,3
Q0020,standard,,F_PAY:E_F_PAY,gt,menu,PB,3,5,,G09-01005,1,release,0,0,menu,template-level,,3
Q0020,standard,,F_PAY:E_F_PAY,gt,abac_perm,PB,3,5,,G09-01005,1,release,0,0,abac_perm,cell-open(≤3) tier-blind,,3
Q0020,standard,,F_PAY:E_F_PAY,gt,abac_restr,PB,3,5,,G09-01005,1,release,0,0,abac_restr,tier 3<=max 3,,3
Q0020,standard,,F_PAY:E_F_PAY,gt,idpdm,PB,3,5,,G09-01005,1,release,0,0,R3,R3:ok,,3
Q0021,standard,,F_CMP:E_F_CMP,gt,ungoverned,PB,3,5,,G09-01013,1,release,0,0,-,no-governance,,3
Q0021,standard,,F_CMP:E_F_CMP,gt,menu,PB,3,5,,G09-01013,1,release,0,0,menu,template-level,,3
Q0021,standard,,F_CMP:E_F_CMP,gt,abac_perm,PB,3,5,,G09-01013,1,release,0,0,abac_perm,cell-open(≤3) tier-blind,,3
Q0021,standard,,F_CMP:E_F_CMP,gt,abac_restr,PB,3,5,,G09-01013,1,release,0,0,abac_restr,tier 3<=max 3,,3
Q0021,standard,,F_CMP:E_F_CMP,gt,idpdm,PB,3,5,,G09-01013,1,release,0,0,R3,R3:ok,,3
Q0022,standard,,F_CMP:E_F_CMP,gt,ungoverned,PB,3,5,,G09-00969,1,release,0,0,-,no-governance,,3
